variable_name,meandecreasegini
tgt_whitepaper,5.101405368
ftr_dummy_db_industry29,4.990010591
tgt_first_date_eval_page_view,4.868789772
num_security_role,4.784001074
prodA_std_2013_bookings_amount,4.459468412
tot_first_touch_paid_search_views,4.343975885
find_a_partner_events,4.315376851
tot_prod3_hol_reg,4.269405924
prodD_booking_pct,4.171613247
ftr_dummy_db_industry7,4.153375126
tot_prod13_evals_page_views,4.105669526
prodJ_booking_pct,4.043398511
prodM_booking_pct,4.029240249
total_prodM_booking_amount,4.027020467
num_president,3.926170057
ftr_dummy_db_industry32,3.863619137
flag_prodA_5_x_customer,3.849742378
prodB_booking_pct,3.849252107
digital_prodN_online_responses,3.830081557
num_decision_maker,3.793598433
digital_prodN_hol_responses,3.749485816
num_cpu,3.733864865
prodF_2014_bookings_amount,3.733323364
num_influence,3.693912676
tot_prod13_eval_reg,3.688760858
num_cio,3.65410553
prodC_booking_pct,3.640957689
tot_prod2_downloads,3.623966509
vmkernel_memory_in_gb,3.564419662
digital_prodN_eval_responses,3.537048003
prodA_std_2014_bookings_amount,3.520761511
num_hosts,3.498278906
prodI_booking_pct,3.497235235
prodA_std_2015_bookings_amount,3.453504006
tgt_first_date_whitepaper_download,3.445750397
tot_prod4_features_page_views,3.434011117
tot_prod5_blog_page_views,3.381214235
prodF_2015_bookings_amount,3.243114454
avg_cpu_cores,3.201918175
prodA_ent_plus_2014_bookings_amount,3.1676306
flag_prodG_customer,3.080220724
digital_prodN_seminar_responses,3.035073755
prodF_2013_bookings_amount,3.006906175
avg_cpu_threads,2.995516196
prodA_ent_2013_bookings_amount,2.9686586
cart_remove_events,2.96421566
tot_prod7_downloads,2.932930814
tot_prod11_downloads,2.918207567
prodL_booking_pct,2.899484507
total_prodI_booking_amount,2.861791151
ftr_dummy_idc_verticals10,2.790609403
prodA_ent_plus_2013_bookings_amount,2.790195711
fb_views,2.780378129
num_prodN_orders,2.761162155
ftr_dummy_db_industry12,2.751425267
tot_prod7_hol_page_views,2.727025111
num_vp,2.712429989
tot_prod17_blog_page_views,2.701388852
ftr_dummy_gu_emp_segment_desc6,2.690706453
tot_prod13_gs_page_views,2.688363127
num_func_area_director_contacts,2.596524809
prodH_2013_bookings_amount,2.584965448
total_prodL_booking_amount,2.575142707
ftr_dummy_db_industry15,2.556138272
ftr_dummy_gu_emp_segment_desc4,2.517336032
prodH_2014_bookings_amount,2.47866915
prodA_ent_2015_bookings_amount,2.415376811
prodD_2014_bookings_amount,2.389628224
ftr_dummy_highest_prodA_edition1,2.331495779
tot_prod10_webinar_page_views,2.329420287
tot_first_touch_cid_codes_views,2.325468604
tot_prod14_hol_reg,2.322468223
num_mission_sddc_cloud,2.283798657
ftr_dummy_gu_emp_segment_desc2,2.183411285
flag_highest_prodA_edition,2.172704929
prodN_booking_pct,2.160053767
flag_prodA_ent_plus_customer,2.057657857
prodD_2015_bookings_amount,2.047189178
ftr_dummy_highest_prodA_editionto1,2.035520593
prodA_ent_plus_2015_bookings_amount,1.956978714
flag_prodA_ent_customer,1.929638171
prodI_2014_bookings_amount,1.923974561
prodK_booking_amount,1.905471238
flag_prodE_customer,1.866428338
prodJ_2014_bookings_amount,1.856564111
prodH_2015_bookings_amount,1.854085414
flag_duns_vertical_retail,1.842399396
num_prodK_orders,1.827347264
ftr_dummy_db_industry31,1.816776865
ftr_dummy_db_industry11,1.81552681
ftr_dummy_db_industry17,1.808512202
prodA_ent_2014_bookings_amount,1.764001987
flag_prodA_std_customer,1.763554024
prodL_2015_bookings_amount,1.721364193
tot_prod15_blog_page_views,1.697476458
flag_duns_vertical_education,1.693110186
prodJ_2015_bookings_amount,1.684525733
ftr_dummy_idc_verticals3,1.682097469
ftr_dummy_db_industry13,1.673438433
tot_prod7_features_page_views,1.63387382
hyperthreading_active_flag,1.598900503
vsan_2015_bookings_amount,1.572510131
tot_prod7_overview_page_views,1.552742564
prodN_2015_bookings_amount,1.549915275
tot_prod12_blog_page_views,1.549275615
tot_prod5_overview_page_views,1.532750759
prodI_2015_bookings_amount,1.532506264
flag_prodF_customer,1.531522601
ftr_dummy_highest_prodA_edition3,1.519615443
tot_winphone_page_views,1.509806905
tot_prod5_downloads,1.487904179
flag_second_highest_prodA_edition,1.483741163
flag_duns_vertical_finance,1.480057603
ftr_dummy_db_industry4,1.456636191
tot_prod14_gs_page_views,1.434364181
ftr_dummy_idc_verticals12,1.415260603
prodI_2013_bookings_amount,1.378633516
ftr_dummy_db_industry27,1.371661629
tot_prod15_overview_page_views,1.339389817
flag_idc_vertical_healthcare,1.338464377
prodB_2015_bookings_amount,1.336723303
prodT_booking_pct,1.328006449
tot_prod18_downloads,1.326120973
prodM_2013_bookings_amount,1.319369687
tot_prod13_overview_page_views,1.308277234
tot_prod2_gs_page_views,1.306808422
ftr_dummy_gu_emp_segment_desc1,1.306061373
ftr_dummy_gu_emp_segment_desc5,1.279770033
prodB_2013_bookings_amount,1.272505725
paid_social_views,1.269515543
prodJ_2013_bookings_amount,1.263022883
tot_prod12_downloads,1.241065057
ftr_dummy_db_industry3,1.216844228
ftr_dummy_db_industry20,1.187267885
ftr_dummy_db_industry8,1.178269721
prodN_2014_bookings_amount,1.177355999
tot_prod7_resources_page_views,1.169937219
flag_duns_vertical_healthcare,1.127064154
tot_prod4_resources_page_views,1.125190163
tot_prod18_overview_page_views,1.117357432
ftr_dummy_db_industry5,1.115279971
ftr_dummy_idc_verticals9,1.086282874
prodN_license_booking_pct,1.073464282
flag_prodD_customer,1.051105575
hv_replay_capable_flag,1.048148072
tot_opera_browser_page_views,1.023630149
flag_prodH_customer,1.012449039
flag_prodB_customer,1.005870974
prodL_2014_bookings_amount,1.002842579
ftr_dummy_db_industry19,1.001089448
flag_prodM_customer,0.99291534
ftr_dummy_highest_prodA_edition4,0.968514627
tot_prod15_downloads,0.965329099
ftr_dummy_db_industry21,0.952047131
tot_prod14_overview_page_views,0.932356356
tot_prod6_downloads,0.927420451
ftr_dummy_db_industry26,0.921418626
contact_support_events,0.921184619
